"code_module","code_presentation","id_assessment","assessment_type","date","weight"
"AAA","2013J","1752","TMA","19","10"
"AAA","2013J","1753","TMA","54","20"
"AAA","2013J","1754","TMA","117","20"
"AAA","2013J","1755","TMA","166","20"
"AAA","2013J","1756","TMA","215","30"
"AAA","2013J","1757","Exam","","100"
"AAA","2014J","1758","TMA","19","10"
"AAA","2014J","1759","TMA","54","20"
"AAA","2014J","1760","TMA","117","20"
"AAA","2014J","1761","TMA","166","20"
"AAA","2014J","1762","TMA","215","30"
"AAA","2014J","1763","Exam","","100"
"BBB","2013B","14991","CMA","54","1"
"BBB","2013B","14992","CMA","89","1"
"BBB","2013B","14993","CMA","124","1"
"BBB","2013B","14994","CMA","159","1"
"BBB","2013B","14995","CMA","187","1"
"BBB","2013B","14984","TMA","19","5"
"BBB","2013B","14985","TMA","47","18"
"BBB","2013B","14986","TMA","89","18"
